File,Title,Name of Author,Period,Date,Culture,Materials,Unit,Specific Unit,
1.jpg,Apollo 11 Stones,Unknown,Paleolithic,25500-25300 BCE,Namibia,Charcoal on stone,1,1,
2.png,Great Hall of the Bulls,Unknown,Paleolithic,15000-13000 BCE,"Lascaux, France",Rock Painting,1,1,
3.png,Camelid Sacrum in the shape of a Canine,Unknown,Paleolithic,14000-7000 BCE,"Tequixquiac, Central Mexico",Bone,1,1,
4.png,Running Horned Woman,Unknown,Neolithic,6000-4000 BCE,"Tassili n""Ajjer, Algeria",Pigment on Stone,1,1,
5.png,Beaker with ibex motifs,Unknown,Neolithic,4200-3500 BCE,"Susa, Iran",Painted Terracotta,1,1,
6.jpg,Anthropomorphic stele,Unknown,Neolithic,3900-3000 BCE,Arabian Peninsula,Sandstone,1,1,
7.jpg,Jade Cong,Unknown,Neolithic,3300-2200 BCE,"Liangzhu, China",Jade,1,1,
8a.png/8b.png/8c.jpg,Stonehenge,Unknown,Neolithic,2500-1600 BCE,"Wiltshire, United Kingdom",Sandstone,1,1,
9.jpg,The Ambum Stone,Unknown,Bronze Age,1500 BCE,"Ambum Valley, Enga Province, Papua New Guinea",Greywacke (stone),1,1,
10.jpg,Tlatilco female figurine,Unknown,Bronze Age,1200-900 BCE,"Central Mexico, site of Tlatilco",Ceramic,1,1,
11.jpg,Terra Cotta Fragment,Unknown,Bronze Age,1000 BCE,"Solomon Islands, Reef Islands",Terracotta,1,1,
12a.webp/12b.png,White Temple and its ziggurat,Unknown,Sumerian,3500-3000 BCE,"Uruk,modern Warka, Iraq",Mud brick,2,2,
13.jpg,"Palette of King Narmer:Palette of King Narmer, back/Palette of King Narmer, front",Unknown,Predynastic Egypt,3000-2920 BCE,Egypt,Greywacke (stone),2,3,
14.jpg,Statues of votive figures from the Square Temple at Eshnunna,Unknown,Sumerian,2700 BCE,"modern Tell Asmar, Iraq",Gypsum inlaid with shell and black limestone,2,2,
15.png,Seated Scribe,Unknown,"Old Kingdom, Fourth Dynasty",2620-2500 BCE,"Saqquara, Egypt",Painted Limestone,2,3,
16.jpg,"The Standard of Ur from Royal Tombs at Ur:Standard of Ur, Peace/Standard of Ur, War",Unknown,Sumerian,2600-2400 BCE,"modern Tell el-Muqayyar, Iraq","Wood inlaid with shell, lapis lazuli, and red limestone",2,2,
17a.jpg/17b.png,"The Great Pyramids (Menkaura, Khafre, Khufu) and Great Sphinx",Unknown,"Old Kingdom, Fourth Dynasty",2550-2490 BCE,"Giza, Egypt",Limestone,2,3,
18.jpg,King Menkaura and Queen,Unknown,"Old Kingdom, Fourth Dynasty",2490-2472 BCE,Egypt,Greywacke,2,3,
19.png,The Code of Hammurabi,Unknown,Babylonian,1792-1750 BCE,"modern Iran, Susian",Basalt,2,2,
20a.png/20b.png/20c.png,Temple of Amun-Re and Hypostyle Hall,Unknown,"New Kingdom, 18th and 19th Dynasties",1550 BCE/1250 BCE,"Karnak, Luxor, Egypt",Cut sandstone and mud brick,2,3,
21a.png/21b.png,Mortuary Temple of Hatshepsut:Mortuary Temple of Hatshepsut/Kneeling statue of Hatshepsut,Senmut,"New Kingdom, 18th Dynasty",1473-1458 BCE,Egypt,Sandstone partially carved into a rock cliff/red granite,2,3,
22.png,"Akhenaten, Nefertiti, and Three Daughters",Unknown,"New Kingdom, 18th Dynasty",1353-1335 BCE,"Amarna, Egypt",Limestone,2,3,
23.png,"Tutankhamun's tomb, innermost coffin",Unknown,"New Kingdom, 18th Dynasty",1323 BCE,Egypt,Gold with inlay of enamel and semi-precious stones,2,3,
24.png,"Last judgement of Hu-Nefer, from his tomb (page from the Book of the Dead)",Unknown,"New Kingdom, 19th Dynasty",1275 BCE,"Thebes, Egypt",Painted papyrus scroll,2,3,
25.png,"Lamassu from the citadel of Sargon II, Dur Sharrukin",Unknown,Neo-Assyrian,720-705 BCE,"modern Khorsabad, Iraq",Alabaster,2,2,
26.png,Athenian agora (site plan),Unknown,Archaic through Hellenistic,600 BCE-150 CE,"Athens, Greece",,2,4,
27.png,Anavysos Kouros,Unknown,Archaic,530 BCE,"Athens, Greece",Marble with remnants of paint,2,4,
28.png,Peplos Kore from the Acropolis,Unknown,Archaic Greek,530 BCE,Greece,"Marble, painted details",2,4,
29.png,Sarcophagus of the Spouses,Unknown,520 BCE,520 BCE,Etruscan,Terracotta,2,5,
30a.png/30b.png,Audience Hall (apadana) of Darius and Xerxes:Apadana/Apadana stairway,Unknown,Ancient Near East,520-465 BCE,"Persian-Persepolis, Iran",Limestone,2,2,
31a.png/31b.png/31c.png,Temple of Minerva and sculpture of Apollo:Temple of Minerva plan/Temple of Minerva elevation/Apollo,Unknown,510-500 BCE,510-500 BCE,Etruscan,"Wood, mudbrick, or tufa (volcanic rock)/Wood, mudbrick, or tufa (volcanic rock)/terracotta",2,5,
32.png,Tomb of the Triclinium,Unknown,480-370 BCE,480-370 BCE,Etruscan,Fresco and tufa,2,5,
33.jpg,Niobides Krater,Unknown,Classical Greek,460-450 BCE,Greece,"Clay, red-figure technique (white highlights)",2,4,
34.png,Doryphoros (Spear Bearer),Unknown,Classical Greek,450-440 BCE,Greece,Roman copy in marble of Greek bronze original,2,4,
35a.png/35b.png/35c.png/35d.png/35e.png/35f.png,"Acropolis:Acropolis plan/Parthenon/Helios, horses, and Dionysus (Heracles?)/Temple of Athena Nike/Victory adjusting her sandal/Plaque of the Ergastines",Iktinos and Kallikrates/Iktinos and Kallikrates/Phidias/Iktinos and Kallikrates/Iktinos and Kallikrates/Iktinos and Kallikrates,Classical Greek,447-410 BCE,"Athens, Greece",Marble,2,4,
36.png,Grave stele of Hegeso,Attributed to Kallimachos,Classical Greek,410 BCE,Greece,Marble and paint,2,4,
37.png,Winged Victory of Samothrace,Unknown,Hellenistic Greek,190 BCE,Greece,Marble,2,4,
38a.png/38b.png/38c.png,Great Altar of Zeus and Athena at Pergamon:Great Altar of Zeus and Athena/Athena/Great Altar of Zeus and Athena plan,Unknown,Hellenistic Greek,175 BCE,Asia Minor - Turkey,Marble,2,4,
39a.png/39b.png/39c.png,House of the Vettii:House of the Vettii plan/Atrium/Frescoes,Unknown,Imperial Roman,199-100 BCE/62-79 CE,"Pompeii, Italy",Cut stone and fresco,2,5,
40.png,Alexander Mosaic from the House of Faun,Unknown,Republican Roman,100 BCE,"Pompeii, Italy",Mosaic,2,5,
41.png,Seated Boxer,Unknown,Hellenistic Greek,100 BCE,Greece,Bronze,2,4,
42.png,Head of a Roman patrician,,Republican Roman,75-50 BCE,Italy,Marble,2,5,
43.png,Augustus of Primaporta,,Imperial Roman,20 CE,"Rome, Italy",Marble,2,5,
44a.png/44b.png,Colosseum (Flavian Amphitheater),,Imperial Roman,70-80 CE,"Rome, Italy",Stone and concrete,2,5,
45a.png/45b.png/45c.png/45d.png,Forum of Trajan:Forum of Trajan (reconstruction drawing)/Basilica Ulpia (reconstruction drawing)/Trajan Markets/Column of Trajan,Apollodorus of Damascus,Imperial Roman,106-112 CE/106-112 CE/106-112 CE/113 CE,"Rome, Italy",brick and concrete/brick and concrete/brick and concrete/marble,2,5,
46a.png/46b.png,Pantheon,,Imperial Roman,118-125 CE,"Rome, Italy",Concrete with stone facing ,2,5,
47.png,Ludovisi Battle Sarcophagus,,Late Imperial Roman,250 CE,Italy,Marble,2,5,
48a.png/48b.png/48c.png,Catacomb of Priscilla:Greek Chapel/Orant fresco/Good Shepherd fresco,Unknown,Late Antique Europe,200-400 CE,"Rome, Italy",Excavated tufa and fresco,3,6,
49a.png/49b.png/49c.png,Santa Sabina,Unknown,Late Antique Europe,422-432 CE,"Rome, Italy",Brick and stone/wood,3,6,
50a.png/50b.png,Vienna Gensis: Rebecca and Eliezer at the Well/Jacob Wrestling the Angel,Unknown,Early Byzantine Europe,500-550 CE,Maybe Syria or Israel,"Illuminated manuscript, tempera, gold, and silver on purple vellum",3,6,
51a.png/51b.png/51c.png/51d.png/51e.png,San Vitale:San Vitale/San Vitale/Justinian Panel/Theodora Panel/San Vitale Plan,Unknown,Early Byzantine Europe,526-547 CE,"Ravenna, Italy","Brick, marble and stone veneer, mosaic",3,6,
52a.png/52b.png/52c.png,Hagia Sophia,Anthemius of Tralles & Isidorus of Miletus,Early Byzantine Europe,532-537 CE,Constantinople ,Brick and ceramic elements with stone and mosaic veneer,3,6,
53.png,Merovingian looped fibulae,Unknown,Early Medieval Europe,525-575 CE,Gual (present day France) (Merovingian dynasty),Silver gilt worked in filigree with inlays of garnets and other stones,3,7,
54.png,Virgin (Theotokos [God Bearer]) and Child between Saints Theodore and George,Unknown ,Early Byzantine Europe,500-650 CE,Egypt,Encaustic on wood,3,6,
55a.png/55b.png/55c.png,"Lindisfarne Gospels:St. Matthew, cross-carpet page/St. Luke, portrait page/St. Luke, incipit page",Eadfrith (monk & bishop of Lindisfarne),Early Medieval (Hiberno Saxon) Europe,700 CE,Present day England,"Illuminated manuscript (ink, pigments and gold on vellum)",3,7,
56a.png/56b.png/56c.png/56d.png/56e.png,Great Mosque of Cordoba,,Umayyad,785-786 CE,"Umayyad, present day Cordoba, Spain",Stone masonry,3,7,
57.png,Pyxis of al-Mughira,Workshop of Madinat al-Zahra,,968 CE,"Umayyad, present day Andalusia Spain",Ivory,3,7,
58a.png/58b.png/58c.png/58d.png,Church of Sainte-Foy:Church of Sainte-Foy/The Last Judgement/Church of Sainte-Foy/Reliquary of Sainte-Foy,Unknown,Romanesque Europe,1050-1130 CE/800-899 CE,"Conques, France","Stone/Stone and paint/gold, silver, gemstones, and enamel over wood",3,8,
59a.png/59b.png,Bayeux Tapestry:Cavalry attack/First meal,Unknown,Romanesque Europe,1066-1080 CE,"English, Norman",Embroidery on linen,3,8,
60a.png/60b.png/60c.png/60d.png/60e.png/60f.png,Chartres Cathedral:Chartres Cathedral/Chartres Cathedral/Great Portal of the West Façade/Chartres Cathedral/Notre Dame de la Belle Verriere Window/Chartres Cathedral plan,,Gothic Europe,1145-1155 CE/1194-1220 CE,"Chartres, France","Limestone, stained glass",3,8,
61a.png/61b.png,Bibles moralisées:Dedication Page with Blanche of Castile and King Louis IX of France/Scenes from the Apocalypse,,Gothic Europe,1225-1245 CE,,"Illuminated manuscript (ink, tempera, gold leaf on vellum)",3,8,
62.png,Röttgen Pietà,,Late Medieval Europe,1300-1325 CE,"Middle Rhine, Germany",Painted Wood,3,8,
63a.png/63b.png/63c.png,"Arena (Scrovegni) Chapel, including Lamentation",Giotto di Bondone,"Late Medieval, Pre-Renaissance",1303 CE/1305 CE,"Padua, Italy",Brick,3,9,
64a.png/64b.png/64c.png,Golden Haggadah:The Plagues of Eygpt/Scenes of Liberation/Preparation for Passover,,Late Medieval Spain,1320 CE,"Present day Barcelona, Spain",Illuminated manuscript (pigments on velllum),3,7,
65a.png/65b.png/65c.png/65d.png,Alhambra:Alhambra/Court of the Lions/Hall of the Sisters/Alhambra Plan,,Nasrid Dynasty,1354-1391 CE,"Nasrid Dynasty, Present day Granada Spain","White washed adobe stucco, wood, tile, paint, and gilding",3,7,
66.png,Annunciation Triptych (Merode Altarpiece),Workshop of Robert Campin,15th century Northern Renaissance,1427-1432 CE,"Dutch, Netherlands",Oil on Wood,3,11,
67a.png/67b.png,Pazzi Chapel (Basilica di Santa Croce),Filippo Brunelleschi,Early Italian Renaissance,1429-1461 CE,"Florence, Italy",Masonry,3,9,
68.png,The Arnolfini Portrait,Jan van Eyck,Early Nothern Renaissance,1434 CE,"Bruges, Belgium",Oil on Wood,3,11,
69.png,David,Donatello,Early Italian Renaissance,1440-1460 CE,"Florence, Italy",Bronze,3,9,
70.png,Palazzo Rucellai,Leon Battista Alberti,Early Italian Renaissance,1450 CE,"Florence, Italy",Stone and Masonry,3,9,
71.png,Madonna and Child with Two Angels,Fra Filippo Lippi ,Early Italian Renaissance,1465 CE,"Florence, Italy",Tempera on wood,3,9,
