"","1 Basic(s) In Hand","2 Basic(s) In Hand","3 Basic(s) In Hand","4 Basic(s) In Hand","5 Basic(s) In Hand","6 Basic(s) In Hand","7 Basic(s) In Hand","Expected number of hands seen","Expected number of mulligans"
"1 Basic(s) In Deck",1,0,0,0,0,0,0,8.57142857142856,7.57142857142856
"2 Basic(s) In Deck",0.946428571428566,0.0535714285714284,0,0,0,0,0,4.51530612244897,3.51530612244897
"3 Basic(s) In Deck",0.893644617380028,0.103112840466927,0.00324254215304798,0,0,0,0,3.17027978506578,2.17027978506578
"4 Basic(s) In Deck",0.841753503413582,0.148544735896514,0.00952209845490476,0.000179662234998203,0,0,0,2.50313125609568,1.50313125609568
"5 Basic(s) In Deck",0.790861041265484,0.189806649903716,0.0186084950885996,0.000715711349561523,8.10239263654557e-06,0,0,2.10720545777168,1.10720545777168
"6 Basic(s) In Deck",0.741072581436548,0.226858953500984,0.0302478604667978,0.00177928590981164,4.10604440725763e-05,2.58241786619976e-07,0,1.84694009307034,0.846940093070339
"7 Basic(s) In Deck",0.692492031503055,0.259684511813645,0.0441640326213684,0.00353312260970946,0.000124698445048569,1.5986980134432e-06,4.30915906588462e-09,1.66422705062538,0.664227050625379
"8 Basic(s) In Deck",0.645220811658681,0.28829014989005,0.0600604478937601,0.00612861713201634,0.000294173622336785,5.76811024189774e-06,3.16929134170205e-08,1.53000280957677,0.530002809576774
"9 Basic(s) In Deck",0.59935676208517,0.312707875870524,0.0776225223792083,0.00970281529740102,0.000594049916167408,1.58413310977976e-05,1.33120429393257e-07,1.42811197291798,0.42811197291798
"10 Basic(s) In Deck",0.554993019759676,0.332995811855805,0.0965205251755958,0.0143753973665781,0.00107815480249336,3.66719320575971e-05,4.19107794943966e-07,1.34885275527751,0.34885275527751
"11 Basic(s) In Deck",0.512216885094292,0.349238785291563,0.116412928430521,0.0202457266835689,0.00180919259725509,7.53830248856287e-05,1.09887791378468e-06,1.28604319557214,0.286043195572137
"12 Basic(s) In Deck",0.471108701215448,0.361548538142087,0.1369502038417,0.0273900407683399,0.00285809121060939,0.000141891053008977,2.53376880373173e-06,1.23555435060772,0.235554350607724
"13 Basic(s) In Deck",0.431740770570914,0.370063517632211,0.157779019145516,0.0358588679876175,0.0043030641585141,0.00024945299469647,5.3075105254568e-06,1.19452056696052,0.194520566960522
"14 Basic(s) In Deck",0.394176334751143,0.374948220860842,0.178546771838496,0.0456747555865921,0.00622837576180802,0.000415225050787201,1.03161503301168e-05,1.16088829989843,0.160888299898426
"15 Basic(s) In Deck",0.358468643797017,0.37639207598687,0.198906381619078,0.0568303947483079,0.00872280477532168,0.000660818543584976,1.88805298167136e-05,1.13314549626746,0.133145496267464
"16 Basic(s) In Deck",0.324660140734695,0.374607854693879,0.21852124857143,0.0692872251567949,0.0118778100268791,0.00101283651391992,3.28843023999976e-05,1.11015254774927,0.110152547749272
"17 Basic(s) In Deck",0.292781785565031,0.369829623871617,0.237070271712574,0.0829745950994011,0.015785410775008,0.00150337245476267,5.49405216026224e-05,1.09103299215047,0.0910329921504718
"18 Basic(s) In Deck",0.26285254042362,0.362310258421744,0.25425281292754,0.0977895434336694,0.0205358041210706,0.00217045084206437,8.85898302883419e-05,1.07510072583532,0.07510072583532
"19 Basic(s) In Deck",0.234879034153771,0.352318551230658,0.26979348517663,0.113597256916475,0.0262147515961099,0.00305838768621281,0.000138533240142044,1.06181027214573,0.0618102721457294
"20 Basic(s) In Deck",0.208855420192044,0.340135970027046,0.283446641689205,0.130232240776121,0.0329007766171253,0.00421804828424683,0.000210902414212342,1.05072203061807,0.0507220306180682
"21 Basic(s) In Deck",0.184763436600935,0.326053123413416,0.29500044499309,0.147500222496545,0.0406622234990475,0.00570697873670842,0.000313570260258705,1.04147750617572,0.0414775061757202
"22 Basic(s) In Deck",0.162572671491292,0.31036600921065,0.304280401186912,0.165180789215752,0.0495542367647257,0.00758938761261564,0.000456504518052068,1.03378133433585,0.0337813343358531
"23 Basic(s) In Deck",0.142241031190941,0.293372126831316,0.311152255730184,0.183030738664814,0.0596157263079679,0.00993595438466137,0.000652166890112907,1.02738802463925,0.0273880246392497
