"","0 In Hand","1 In Hand","2 In Hand","3 In Hand","4 In Hand","5 In Hand","6 In Hand","7 In Hand"
"1 Copy(s) of Card Total",0.883333333333333,0.116666666666667,0,0,0,0,0,0
"2 Copy(s) of Card Total",0.778531073446327,0.209604519774011,0.011864406779661,0,0,0,0,0
"3 Copy(s) of Card Total",0.684570426651081,0.281881940385739,0.0325248392752776,0.00102279368790181,0,0,0,0
"4 Copy(s) of Card Total",0.600500374255334,0.336280209582987,0.0593435663969978,0.00380407476903832,7.17749956422324e-05,0,0,0
"5 Copy(s) of Card Total",0.525437827473418,0.375312733909584,0.0900750561383002,0.0088308878566961,0.00033964953294985,3.84508905226245e-06,0,0
"6 Copy(s) of Card Total",0.458563922158619,0.401243431888791,0.122829622006773,0.0163772829342364,0.000963369584366846,2.22316057930811e-05,1.39821420082271e-07,0
"7 Copy(s) of Card Total",0.399120450767687,0.416104299736525,0.156039112401197,0.026537264013809,0.00212298112110472,7.49287454507548e-05,9.60624941676342e-07,2.58928555707909e-09
"8 Copy(s) of Card Total",0.346406428968181,0.421712174396046,0.188424588559936,0.0392551226166532,0.00400562475680136,0.000192269988326465,3.76999977110715e-06,2.07142844566327e-08
"9 Copy(s) of Card Total",0.299774794299387,0.419684712019142,0.21896593670564,0.0543532466999815,0.00679415583749768,0.000415968724744756,1.10924993265268e-05,9.32142800548471e-08
"10 Copy(s) of Card Total",0.258629234297511,0.411455600018767,0.24687336001126,0.0715574956554377,0.0106574993529375,0.000799312451470316,2.71874983493305e-05,3.10714266849491e-07
"11 Copy(s) of Card Total",0.222421141495859,0.398289020818166,0.271560696012386,0.0905202320041287,0.0157426490441963,0.00140678991458775,5.86162464411566e-05,8.54464233836101e-07
"12 Copy(s) of Card Total",0.190646692710736,0.381293385421473,0.292620505090898,0.110841100413219,0.0221682200826438,0.00231320557384109,0.000114839993027572,2.05071416120664e-06
"13 Copy(s) of Card Total",0.162844050023754,0.361434354930771,0.309800875654947,0.132085644659086,0.0300194646952468,0.00360233576342961,0.000208831058749543,4.44321401594772e-06
"14 Copy(s) of Card Total",0.13859068087128,0.339547168134636,0.322983891640264,0.15380185316203,0.039344660111217,0.00536518092425688,0.000357678728283792,8.88642803189544e-06
"15 Copy(s) of Card Total",0.117500794651737,0.316348293293139,0.332165707957796,0.175534723717535,0.0501527782050099,0.00769786828262943,0.000583171839593139,1.6662052559804e-05
"16 Copy(s) of Card Total",0.0992228932614671,0.292446422244324,0.337438179512682,0.196838938049064,0.062412346210679,0.0106992593504021,0.000912339944607931,2.96214267729848e-05
"17 Copy(s) of Card Total",0.0834374329698701,0.26835282495715,0.338971989419558,0.217289736807409,0.0760514078825931,0.0144683166215665,0.00137793491633967,5.03564255140741e-05
"18 Copy(s) of Card Total",0.0698545950445425,0.244491082655898,0.337001222039212,0.236492085641552,0.09095849447752,0.0191012838402792,0.00201883487742788,8.2401423568485e-05
"19 Copy(s) of Card Total",0.0582121625371187,0.221206217641051,0.331809326461577,0.254088222966072,0.106984514933083,0.0246887342153269,0.00288035232512147,0.000130468920650101
"20 Copy(s) of Card Total",0.0482735006405374,0.198773237931625,0.323716416060075,0.269763680050062,0.123945474617596,0.0313125409560243,0.00401442832769541,0.000200721416384771
"21 Copy(s) of Card Total",0.0398256380284434,0.177405114853975,0.313067849742309,0.283251864052565,0.141625932026283,0.0390428245045428,0.00547969466730426,0.000301082124577157
"22 Copy(s) of Card Total",0.0326774465874407,0.157260211702059,0.300224040522112,0.294337294629521,0.159783102798883,0.0479349308396649,0.007341385804273,0.000441587116046496
"23 Copy(s) of Card Total",0.0266579169529122,0.138449181594157,0.285551437037948,0.302857584737218,0.178151520433658,0.0580264952269629,0.00967108253782713,0.000634781479316839
"24 Copy(s) of Card Total",0.021614527259118,0.121041352651061,0.269414623642684,0.308704256257241,0.19644816307279,0.0693346457903965,0.0125462692382622,0.000896162088447301
"25 Copy(s) of Card Total",0.0174117025142895,0.105070618620712,0.25216948468971,0.311822481067921,0.214377955734195,0.0818534012803292,0.0160496865255547,0.00124466956728792
"26 Copy(s) of Card Total",0.0139293620114316,0.0905408530743054,0.234157378640445,0.31220983818726,0.231639557364741,0.0955513174129557,0.0202684612694148,0.00170323203944663
"27 Copy(s) of Card Total",0.0110615521855486,0.0774308652988403,0.215700267618198,0.309914177612353,0.247931342089883,0.110369436156141,0.0252929957857824,0.00229936325325294
"28 Copy(s) of Card Total",0.00871516232800799,0.0656989160111372,0.197096748033412,0.30503068148028,0.262957484034724,0.126219592336668,0.0312155981047672,0.00306581767100392
"29 Copy(s) of Card Total",0.00680872056875624,0.0552868110183007,0.178618927905279,0.297698213175466,0.276434055091504,0.142983131943881,0.038128835185035,0.0040413051117779
"30 Copy(s) of Card Total",0.00527126753710161,0.0461235909496391,0.160510096504744,0.288095045008515,0.288095045008515,0.160510096504744,0.0461235909496391,0.00527126753710161
"31 Copy(s) of Card Total",0.0040413051117779,0.038128835185035,0.142983131943881,0.276434055091504,0.297698213175466,0.178618927905279,0.0552868110183007,0.00680872056875624
"32 Copy(s) of Card Total",0.00306581767100392,0.0312155981047672,0.126219592336668,0.262957484034724,0.30503068148028,0.197096748033412,0.0656989160111372,0.00871516232800799
"33 Copy(s) of Card Total",0.00229936325325294,0.0252929957857824,0.110369436156141,0.247931342089883,0.309914177612353,0.215700267618198,0.0774308652988403,0.0110615521855486
"34 Copy(s) of Card Total",0.00170323203944663,0.0202684612694148,0.0955513174129557,0.231639557364741,0.31220983818726,0.234157378640445,0.0905408530743054,0.0139293620114316
"35 Copy(s) of Card Total",0.00124466956728792,0.0160496865255547,0.0818534012803292,0.214377955734195,0.311822481067921,0.25216948468971,0.105070618620712,0.0174117025142895
"36 Copy(s) of Card Total",0.000896162088447301,0.0125462692382622,0.0693346457903965,0.19644816307279,0.308704256257241,0.269414623642684,0.121041352651061,0.021614527259118
"37 Copy(s) of Card Total",0.000634781479316839,0.00967108253782713,0.0580264952269629,0.178151520433658,0.302857584737218,0.285551437037948,0.138449181594157,0.0266579169529122
"38 Copy(s) of Card Total",0.000441587116046496,0.007341385804273,0.0479349308396649,0.159783102798883,0.294337294629521,0.300224040522112,0.157260211702059,0.0326774465874407
"39 Copy(s) of Card Total",0.000301082124577157,0.00547969466730426,0.0390428245045428,0.141625932026283,0.283251864052565,0.313067849742309,0.177405114853975,0.0398256380284434
"40 Copy(s) of Card Total",0.000200721416384771,0.00401442832769541,0.0313125409560243,0.123945474617596,0.269763680050062,0.323716416060075,0.198773237931625,0.0482735006405374
"41 Copy(s) of Card Total",0.000130468920650101,0.00288035232512147,0.0246887342153269,0.106984514933083,0.254088222966072,0.331809326461577,0.221206217641051,0.0582121625371187
"42 Copy(s) of Card Total",8.2401423568485e-05,0.00201883487742788,0.0191012838402792,0.09095849447752,0.236492085641552,0.337001222039212,0.244491082655898,0.0698545950445425
"43 Copy(s) of Card Total",5.03564255140741e-05,0.00137793491633967,0.0144683166215665,0.0760514078825931,0.217289736807409,0.338971989419558,0.26835282495715,0.0834374329698701
"44 Copy(s) of Card Total",2.96214267729848e-05,0.000912339944607931,0.0106992593504021,0.062412346210679,0.196838938049064,0.337438179512682,0.292446422244324,0.0992228932614671
"45 Copy(s) of Card Total",1.6662052559804e-05,0.000583171839593139,0.00769786828262943,0.0501527782050099,0.175534723717535,0.332165707957796,0.316348293293139,0.117500794651737
"46 Copy(s) of Card Total",8.88642803189544e-06,0.000357678728283792,0.00536518092425688,0.039344660111217,0.15380185316203,0.322983891640264,0.339547168134636,0.13859068087128
"47 Copy(s) of Card Total",4.44321401594772e-06,0.000208831058749543,0.00360233576342961,0.0300194646952468,0.132085644659086,0.309800875654947,0.361434354930771,0.162844050023754
"48 Copy(s) of Card Total",2.05071416120664e-06,0.000114839993027572,0.00231320557384109,0.0221682200826438,0.110841100413219,0.292620505090898,0.381293385421473,0.190646692710736
"49 Copy(s) of Card Total",8.54464233836101e-07,5.86162464411566e-05,0.00140678991458775,0.0157426490441963,0.0905202320041287,0.271560696012386,0.398289020818166,0.222421141495859
"50 Copy(s) of Card Total",3.10714266849491e-07,2.71874983493305e-05,0.000799312451470316,0.0106574993529375,0.0715574956554377,0.24687336001126,0.411455600018767,0.258629234297511
"51 Copy(s) of Card Total",9.32142800548471e-08,1.10924993265268e-05,0.000415968724744756,0.00679415583749768,0.0543532466999815,0.21896593670564,0.419684712019142,0.299774794299387
"52 Copy(s) of Card Total",2.07142844566327e-08,3.76999977110715e-06,0.000192269988326465,0.00400562475680136,0.0392551226166532,0.188424588559936,0.421712174396046,0.346406428968181
"53 Copy(s) of Card Total",2.58928555707909e-09,9.60624941676342e-07,7.49287454507548e-05,0.00212298112110472,0.026537264013809,0.156039112401197,0.416104299736525,0.399120450767687
"54 Copy(s) of Card Total",0,1.39821420082271e-07,2.22316057930811e-05,0.000963369584366846,0.0163772829342364,0.122829622006773,0.401243431888791,0.458563922158619
"55 Copy(s) of Card Total",0,0,3.84508905226245e-06,0.00033964953294985,0.0088308878566961,0.0900750561383002,0.375312733909584,0.525437827473418
"56 Copy(s) of Card Total",0,0,0,7.17749956422324e-05,0.00380407476903832,0.0593435663969978,0.336280209582987,0.600500374255334
"57 Copy(s) of Card Total",0,0,0,0,0.00102279368790181,0.0325248392752776,0.281881940385739,0.684570426651081
"58 Copy(s) of Card Total",0,0,0,0,0,0.011864406779661,0.209604519774011,0.778531073446327
"59 Copy(s) of Card Total",0,0,0,0,0,0,0.116666666666667,0.883333333333333
