"","0 In Hand","1 In Hand","2 In Hand","3 In Hand","4 In Hand","5 In Hand","6 In Hand","7 In Hand"
"1 Copy(s) of Card Total",0.885938971541806,0.114061028458192,0,0,0,0,0,0
"2 Copy(s) of Card Total",0.783058979985228,0.205759983113157,0.0111810369016132,0,0,0,0,0
"3 Copy(s) of Card Total",0.690453656803223,0.277815969546017,0.0308240051237186,0.000906368527040349,0,0,0,0
"4 Copy(s) of Card Total",0.607273735724177,0.332719684316188,0.0565524126177533,0.00339706508645592,5.7102255426368e-05,0,0,0
"5 Copy(s) of Card Total",0.532724560997119,0.372745873635289,0.0863074635198903,0.00794655750969854,0.000273052603220632,2.49173478224151e-06,0,0
"6 Copy(s) of Card Total",0.466063652287277,0.399965452259045,0.118323990258255,0.0148496066954402,0.000782631242967674,1.46106266776889e-05,5.66303359600343e-08,0
"7 Copy(s) of Card Total",0.40659832620197,0.416257282597158,0.151107235115183,0.024243918743957,0.00174289297306332,4.99479563167503e-05,3.9641235172024e-07,0
"8 Copy(s) of Card Total",0.353683374446822,0.423319614041176,0.183410481244514,0.0361316644847942,0.00332325688192134,0.000130023251364239,1.58564940688096e-06,0
"9 Copy(s) of Card Total",0.306718798612339,0.422681182510341,0.214213533143927,0.0503998663977113,0.00569644549421985,0.000285416893238573,4.75694822064288e-06,0
"10 Copy(s) of Card Total",0.265147601590798,0.41571197021542,0.242702046582318,0.0668396529269093,0.00903027337218708,0.000556562941815218,1.18923705516072e-05,0
"11 Copy(s) of Card Total",0.228453635623478,0.40363362564052,0.26824770798221,0.0851643801885371,0.0134802851719266,0.000994202178114362,2.61632152135358e-05,0
"12 Copy(s) of Card Total",0.196159506978237,0.387529543742893,0.290389263257207,0.10502662107148,0.0191832431547818,0.00165949536497285,5.23264304270717e-05,0
"13 Copy(s) of Card Total",0.167824537257412,0.368354606370719,0.308814396104492,0.126034021731427,0.0262514641537402,0.00262379672570031,9.71776565074188e-05,0
"14 Copy(s) of Card Total",0.143042781336064,0.346944582898874,0.323342455752351,0.147764025478225,0.0347680059948765,0.0039680876407196,0.000170060898887983,0
"15 Copy(s) of Card Total",0.121441101930552,0.324025191082686,0.333908034162751,0.169777464056503,0.0447827033738355,0.00578207056219145,0.000283434831479972,0
