"","0 Prized","1 Prized","2 Prized","3 Prized","4 Prized","5 Prized","6 Prized"
"1 Copy(s) of Card Total",0.899953581195261,0.100046418804739,0,0,0,0,0
"2 Copy(s) of Card Total",0.808389202789371,0.183128756811778,0.00848204039884982,0,0,0,0
"3 Copy(s) of Card Total",0.72472167981541,0.25100256892189,0.0236905662957781,0.000585184966923793,0,0,0
"4 Copy(s) of Card Total",0.648396636568423,0.305300172987947,0.04405487836186,0.00221750281979755,3.08092619744073e-05,0,0
"5 Copy(s) of Card Total",0.578889405961405,0.347536153035079,0.0681781263997063,0.00524667087006007,0.000148543089716886,1.10064403103013e-06,0
"6 Copy(s) of Card Total",0.515703948897888,0.379112742381108,0.0948266031524682,0.00992078192945535,0.000429419857998612,6.48376446081833e-06,2.00166208937434e-08
"7 Copy(s) of Card Total",0.458371793661139,0.401325086657243,0.122919338362151,0.0163965100855069,0.000964858291039936,2.22728265740955e-05,1.40116346256204e-07
"8 Copy(s) of Card Total",0.406450995320006,0.415366386729064,0.151517993077248,0.0247489161445748,0.00185687499029545,5.82732734275383e-05,5.60465385024815e-07
"9 Copy(s) of Card Total",0.359525115151365,0.422332921517777,0.179817054209678,0.0349808527424938,0.00321378221155246,0.00012859277097935,1.68139615507445e-06
"10 Copy(s) of Card Total",0.31720222007919,0.423228950721741,0.207134329341049,0.0470319691227952,0.00514618589134287,0.000252141353493476,4.2034903876861e-06
"11 Copy(s) of Card Total",0.279113902130256,0.41897149743827,0.232901741778224,0.0607873155825091,0.00776328392266845,0.000453011469218462,9.24767885290943e-06
"12 Copy(s) of Card Total",0.244914317906447,0.410395010685712,0.256656425858204,0.0760855475855502,0.0111694646800396,0.000760737926340949,1.84953577058189e-05
"13 Copy(s) of Card Total",0.214279248073693,0.398255907825801,0.278032122502327,0.0927267295436844,0.0154612057938273,0.0012104377392138,3.43485214536637e-05
"14 Copy(s) of Card Total",0.18690517686753,0.38323699688628,0.296750875019778,0.110479738265079,0.0207242731739288,0.00184282987485885,6.01099125439113e-05
"15 Copy(s) of Card Total",0.162508391615276,0.365951778783813,0.312615025160414,0.129089266070433,0.0270312202827464,0.00270413489974436,0.000100183187573186
"16 Copy(s) of Card Total",0.140824102274829,0.346948629447148,0.325499509416896,0.148282423576693,0.0344391876574797,0.00384585452683702,0.000160293100117097
"17 Copy(s) of Card Total",0.121605580990089,0.326714861840577,0.335344455576146,0.167774942148346,0.0429880026817317,0.00532443106292863,0.000247725700180968
"18 Copy(s) of Card Total",0.104623321662997,0.305680667887657,0.342148079520107,0.187276976016302,0.0526985796064274,0.00720078675623743,0.000371588550271452
"19 Copy(s) of Card Total",0.0896642195421968,0.284222940295213,0.345959882275824,0.206498504064347,0.0635716198200468,0.00953974304428408,0.000543090958089046
"20 Copy(s) of Card Total",0.0765307708283162,0.262668974277611,0.346874147314828,0.225154331283191,0.0755866123681702,0.0124093197020422,0.000775844225841493
"21 Copy(s) of Card Total",0.065040292295873,0.241300049181307,0.345023738101848,0.242968689892093,0.0887011347223386,0.0158799138903636,0.00108618191617809
"22 Copy(s) of Card Total",0.055024160931797,0.220354890009671,0.340574195892824,0.25967944012806,0.102850453798225,0.0200233591046782,0.00149350013474487
"23 Copy(s) of Card Total",0.0463270735905757,0.200033008848089,0.333718137782238,0.275041870702644,0.117947427223123,0.0249118640239685,0.00202061782936071
"24 Copy(s) of Card Total",0.0388063266660203,0.180497926189331,0.324669954999764,0.288832098926309,0.133882704852743,0.0306168312600189,0.00269415710581428
"25 Copy(s) of Card Total",0.0323311157796522,0.161880272159202,0.313660811456215,0.300850070500382,0.150525230537328,0.037207556006939,0.00354494356028195
"26 Copy(s) of Card Total",0.0267818554857112,0.144280767642464,0.300933942538825,0.310922158976592,0.167723044137078,0.0447498045909626,0.00460842662836653
"27 Copy(s) of Card Total",0.0220495189927841,0.127773085309033,0.28674025415583,0.318903364884185,0.185304383786891,0.0533042729205205,0.00592511995075698
"28 Copy(s) of Card Total",0.0180349979020537,0.112406590540452,0.27133422203036,0.32467911452462,0.203079088410417,0.0629249248365878,0.00754106175550888
